DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX
2447.25,98.35626726,24.2,2.281,132,6.62,8.58,165.6610251
2447.375,98.34178898,24.9,2.254,132,6.72,8.77,166.5118163
2447.5,97.67249764,25.1,2.242,130,6.73,8.8,167.8569606
2447.625,98.32821562,24.9,2.235,129,6.55,8.56,169.0310117
2447.75,99.10787159,24.1,2.23,128,6.21,8.1,169.8467888
2447.875,99.8564185,23.2,2.224,128,5.86,7.59,170.1788242
2448,100.0786439,22.6,2.221,126,5.61,7.19,169.8411293
2448.125,96.46963799,22.3,2.232,124,5.67,7.12,168.2582061
2448.25,93.92685965,21.7,2.249,120,6.13,7.46,165.8936073
2448.375,90.96225997,20.8,2.25,114,6.91,8.13,163.656174
2448.5,89.65623812,19.9,2.207,108,7.67,8.79,162.1412259
2448.625,88.83885295,19.8,2.138,105,8.07,9.1,161.9034037
2448.75,84.75351818,20.6,2.083,107,7.89,8.88,163.4287264
2448.875,87.5989086,22.8,2.069,113,7.14,8.1,167.4379948
2449,91.54907638,26,2.09,121,6.08,7.02,173.2119803
2449.125,96.93345755,29.7,2.132,128,5.1,5.98,180.1411923
2449.25,102.8050365,32.1,2.179,131,4.51,5.31,187.680411
2449.375,107.6749315,31.9,2.224,132,4.29,5.04,195.200511
2449.5,109.8028843,29.4,2.267,131,4.28,5.01,201.8911278
2449.625,111.354688,27.2,2.306,131,4.32,5.06,206.5550177
2449.75,112.4022104,26.4,2.32,132,4.4,5.14,208.9467589
2449.875,112.9344184,27.1,2.287,133,4.54,5.28,209.0800553
2450,112.8096959,27.7,2.236,134,4.72,5.46,207.0187153
2450.125,111.6909315,27,2.217,136,4.97,5.73,202.8959236
2450.25,108.2270207,25,2.271,137,5.48,6.2,197.0271572
2450.375,103.0596838,22.4,2.376,138,6.35,6.98,190.6459089
2450.5,99.94065669,20.1,2.48,137,7.56,8.08,184.4001114
2450.625,98.19061266,18.6,2.533,134,8.78,9.19,178.9345291
2450.75,96.86811135,17.9,2.561,130,9.65,9.96,174.8369363
2450.875,96.67511594,17.9,2.555,127,9.88,10.11,172.5668411
2451,95.76121765,18.5,2.505,127,9.54,9.72,172.2999743
2451.125,97.58069245,19.7,2.443,129,8.87,9,173.190712
2451.25,100.4137283,21.2,2.401,131,8.23,8.29,174.5844055
2451.375,102.5788412,22.5,2.376,133,7.85,7.82,175.7854041
2451.5,102.9161839,23,2.357,134,7.75,7.65,176.1761959
2451.625,101.9717941,22.7,2.35,135,7.87,7.69,175.3650083
2451.75,99.65223766,22,2.366,135,8.14,7.88,173.6609427
2451.875,98.23326896,21.4,2.404,136,8.59,8.24,171.6679888
2452,97.79098228,21.2,2.445,139,9.15,8.73,170.0077528
2452.125,97.75568504,21.3,2.467,141,9.64,9.18,169.1658969
2452.25,97.25607861,21.8,2.459,140,9.79,9.36,169.3586356
2452.375,97.22835551,22.2,2.438,137,9.53,9.17,170.6241376
2452.5,97.15943524,22.4,2.42,134,8.95,8.66,172.6719942
2452.625,98.07379199,22.3,2.422,133,8.23,8,175.1080314
2452.75,99.41888878,22.4,2.444,133,7.61,7.39,177.7027984
2452.875,100.3027718,22.8,2.47,134,7.19,6.95,180.3318594
2453,101.6530014,23.5,2.474,134,7,6.72,182.9392249
2453.125,103.0259246,24,2.452,134,6.89,6.57,185.0807327
