DEPTH,GR,CNL,DT,DEN,MSFL,RS,RD,Well Name,Facies
2354.4200,128.2899,20.8974,97.6182,2.4109,2.3256,4.8733,4.9760,1,3
2354.4400,128.3354,20.7524,97.4773,2.4082,2.2511,4.8848,4.9839,1,3
2354.4600,128.3707,20.6073,97.2966,2.4059,2.2137,4.8965,4.9924,1,3
2354.4800,128.3958,20.4626,97.0753,2.4041,2.2139,4.9085,5.0015,1,3
2354.5000,128.4107,20.3192,96.8044,2.4028,2.2556,4.9206,5.0112,1,3
2354.5200,128.4155,20.1775,96.4804,2.4020,2.3402,4.9327,5.0214,1,3
2354.5400,128.4101,20.0395,96.1251,2.4018,2.4614,4.9449,5.0320,1,3
2354.5600,128.3948,19.9101,95.7918,2.4021,2.6037,4.9576,5.0431,1,3
2354.5800,128.3696,19.7894,95.4836,2.4030,2.7664,4.9710,5.0546,1,3
2354.6000,128.3349,19.6783,95.2141,2.4043,2.9478,4.9849,5.0665,1,3
2354.6200,128.2907,19.5772,94.9887,2.4062,3.1474,4.9995,5.0788,1,3
2354.6400,128.2360,19.4868,94.7979,2.4085,3.3597,5.0148,5.0916,1,3
2354.6600,128.1679,19.4094,94.6178,2.4114,3.5716,5.0311,5.1052,1,3
2354.6800,128.0863,19.3450,94.4472,2.4148,3.7825,5.0483,5.1195,1,3
2354.7000,127.9918,19.2945,94.2824,2.4187,3.9909,5.0666,5.1346,1,3
2354.7200,127.8845,19.2584,94.1219,2.4231,4.1964,5.0860,5.1505,1,3
2354.7400,127.7606,19.2350,93.9643,2.4279,4.3934,5.1065,5.1674,1,3
2354.7600,127.6109,19.2206,93.8059,2.4332,4.5678,5.1284,5.1853,1,3
2354.7800,127.4349,19.2151,93.6467,2.4389,4.7190,5.1517,5.2044,1,3
2354.8000,127.2318,19.2182,93.4849,2.4451,4.8419,5.1764,5.2246,1,3
2354.8200,127.0014,19.2300,93.3199,2.4518,4.9346,5.2027,5.2459,1,3
2354.8400,126.7392,19.2483,93.1543,2.4589,5.0037,5.2303,5.2684,1,3
2354.8600,126.4349,19.2680,92.9945,2.4659,5.0654,5.2589,5.2926,1,3
2354.8800,126.0877,19.2889,92.8410,2.4731,5.1204,5.2885,5.3185,1,3
2354.9000,125.6924,19.3103,92.6993,2.4801,5.1698,5.3190,5.3463,1,3
2354.9200,125.2469,19.3321,92.5716,2.4870,5.2141,5.3505,5.3761,1,3
2354.9400,124.7612,19.3524,92.4429,2.4939,5.2606,5.3827,5.4072,1,3
2354.9600,124.2593,19.3666,92.2767,2.5005,5.3270,5.4151,5.4383,1,3
2354.9800,123.7425,19.3744,92.0706,2.5069,5.4146,5.4477,5.4694,1,3
2355.0000,123.2132,19.3748,91.8108,2.5131,5.5305,5.4805,5.5000,1,3
2355.0200,122.6723,19.3673,91.4914,2.5191,5.6776,5.5135,5.5302,1,3
2355.0400,122.1284,19.3520,91.1356,2.5248,5.8443,5.5464,5.5597,1,3
2355.0600,121.6021,19.3293,90.7996,2.5302,6.0019,5.5781,5.5883,1,3
2355.0800,121.0946,19.2993,90.4864,2.5353,6.1489,5.6087,5.6158,1,3
2355.1000,120.6081,19.2615,90.2085,2.5402,6.2801,5.6379,5.6423,1,3
2355.1200,120.1435,19.2159,89.9708,2.5448,6.3934,5.6657,5.6677,1,3
2355.1400,119.7091,19.1633,89.7688,2.5491,6.4874,5.6920,5.6920,1,3
2355.1600,119.3249,19.1054,89.5919,2.5531,6.5587,5.7173,5.7151,1,3
2355.1800,118.9921,19.0422,89.4394,2.5567,6.6070,5.7414,5.7371,1,3
2355.2000,118.7171,18.9733,89.3101,2.5601,6.6318,5.7643,5.7578,1,3
2355.2200,118.5023,18.8986,89.2034,2.5632,6.6327,5.7861,5.7773,1,3
2355.2400,118.3412,18.8207,89.1186,2.5659,6.6082,5.8068,5.7956,1,3
2355.2600,118.2176,18.7458,89.0535,2.5682,6.5550,5.8268,5.8127,1,3
2355.2800,118.1306,18.6742,89.0082,2.5702,6.4726,5.8461,5.8286,1,3
2355.3000,118.0784,18.6063,88.9842,2.5719,6.3558,5.8647,5.8432,1,3
2355.3200,118.0603,18.5424,88.9822,2.5732,6.2025,5.8827,5.8566,1,3
2355.3400,118.0719,18.4856,88.9945,2.5742,6.0284,5.9000,5.8689,1,3
2355.3600,118.1024,18.4439,89.0019,2.5747,5.8715,5.9166,5.8807,1,3
2355.3800,118.1512,18.4178,89.0032,2.5749,5.7341,5.9324,5.8920,1,3
2355.4000,118.2158,18.4096,88.9900,2.5746,5.6240,5.9475,5.9030,1,3
2355.4200,118.2951,18.4203,88.9588,2.5739,5.5447,5.9619,5.9137,1,3
2355.4400,118.3897,18.4476,88.9258,2.5728,5.4953,5.9754,5.9240,1,3
2355.4600,118.5011,18.4858,88.9307,2.5715,5.4739,5.9875,5.9331,1,3
2355.4800,118.6293,18.5346,88.9758,2.5701,5.4804,5.9981,5.9411,1,3
2355.5000,118.7743,18.5933,89.0759,2.5686,5.5184,6.0071,5.9478,1,3
2355.5200,118.9361,18.6617,89.2370,2.5670,5.5893,6.0145,5.9532,1,3
2355.5400,119.1152,18.7383,89.4350,2.5654,5.6811,6.0204,5.9573,1,3
2355.5600,119.3126,18.8201,89.6111,2.5636,5.7647,6.0254,5.9607,1,3
2355.5800,119.5283,18.9067,89.7620,2.5619,5.8383,6.0295,5.9632,1,3
2355.6000,119.7637,18.9980,89.8733,2.5600,5.8959,6.0329,5.9649,1,3
2355.6200,120.0192,19.0938,89.9390,2.5581,5.9351,6.0355,5.9659,1,3
2355.6400,120.2912,19.1925,89.9693,2.5561,5.9560,6.0375,5.9661,1,3
2355.6600,120.5713,19.2897,89.9889,2.5541,5.9594,6.0389,5.9660,1,3
2355.6800,120.8589,19.3852,89.9992,2.5523,5.9453,6.0398,5.9654,1,3
2355.7000,121.1542,19.4789,90.0042,2.5504,5.9133,6.0402,5.9644,1,3
2355.7200,121.4574,19.5708,90.0056,2.5485,5.8632,6.0401,5.9630,1,3
2355.7400,121.7616,19.6580,90.0042,2.5467,5.7955,6.0395,5.9613,1,3
2355.7600,122.0504,19.7341,90.0025,2.5449,5.7111,6.0386,5.9595,1,3
2355.7800,122.3230,19.7986,90.0006,2.5433,5.6099,6.0375,5.9577,1,3
2355.8000,122.5774,19.8506,89.9993,2.5417,5.4882,6.0361,5.9558,1,3
2355.8200,122.8129,19.8898,89.9990,2.5402,5.3446,6.0345,5.9540,1,3
2355.8400,123.0239,19.9142,89.9994,2.5388,5.1926,6.0326,5.9522,1,3
2355.8600,123.1968,19.9191,89.9998,2.5376,5.0654,6.0307,5.9507,1,3
2355.8800,123.3309,19.9042,90.0000,2.5367,4.9651,6.0288,5.9493,1,3
2355.9000,123.4223,19.8672,90.0000,2.5359,4.9002,6.0269,5.9485,1,3
2355.9200,123.4694,19.8070,89.9997,2.5354,4.8744,6.0252,5.9482,1,3
2355.9400,123.4750,19.7283,89.9993,2.5350,4.8810,6.0231,5.9478,1,3
2355.9600,123.4460,19.6426,89.9992,2.5348,4.9037,6.0195,5.9459,1,3
2355.9800,123.3824,19.5505,89.9997,2.5346,4.9418,6.0142,5.9424,1,3
2356.0000,123.2841,19.4541,90.0009,2.5344,4.9954,6.0069,5.9369,1,3
2356.0200,123.1508,19.3543,90.0030,2.5343,5.0645,5.9975,5.9293,1,3
2356.0400,122.9880,19.2516,90.0051,2.5341,5.1386,5.9861,5.9197,1,3
2356.0600,122.8090,19.1477,90.0049,2.5341,5.1920,5.9734,5.9086,1,3
2356.0800,122.6144,19.0424,90.0022,2.5340,5.2233,5.9594,5.8960,1,3
2356.1000,122.4047,18.9360,89.9949,2.5340,5.2257,5.9442,5.8819,1,3
