DEPTH,DT,CNL,DEN,GR,RD,RS,DTXX,sample_weight
2596.875,71.48671844,11.2,2.588,117,9.66,9.66,130.128607,0.8003507324221976
2597.0,71.34404298,11.1,2.586,116,9.82,9.84,129.4769577,0.8003507324221976
2597.125,71.1301628,11.1,2.586,115,9.94,10.02,129.07686,0.8003507324221976
2597.25,70.85502303,10.9,2.584,114,10.08,10.16,128.7589181,0.8003507324221976
2597.375,70.55128156,10.7,2.581,114,10.25,10.29,128.5037137,0.8003507324221976
2597.5,70.28009547,10.5,2.579,115,10.45,10.42,128.3488081,0.8003507324221976
2597.625,70.200125,10.2,2.579,116,10.7,10.61,128.1362917,0.8003507324221976
2597.75,69.86372146,9.8,2.581,116,11.04,10.88,128.0987098,0.8003507324221976
2597.875,69.90799941,9.5,2.584,113,11.4,11.19,128.3705406,0.8003507324221976
2598.0,70.36166739,9.4,2.591,109,11.46,11.23,129.0153568,0.8003507324221976
2598.125,71.22025794,9.7,2.599,108,10.96,10.76,130.1311513,0.8003507324221976
2598.25,72.5503374,10.3,2.604,112,9.93,9.81,131.8682772,0.8003507324221976
2598.375,73.60299488,10.9,2.604,121,8.76,8.71,134.0848126,0.8003507324221976
2598.5,74.36429534,11.3,2.601,131,7.75,7.76,136.384339,0.8003507324221976
2598.625,75.04332224,11.8,2.603,137,7.1,7.15,138.5046411,0.8003507324221976
2598.75,75.32025597,12.4,2.609,139,6.94,6.99,140.0671067,0.8003507324221976
2598.875,74.81847192,12.9,2.614,137,7.29,7.29,140.7189136,0.8003507324221976
2599.0,73.78927244,13.2,2.615,133,7.99,7.94,140.2763283,0.8003507324221976
2599.125,72.45298209,13.0,2.616,127,8.74,8.64,138.8421698,0.8003507324221976
2599.25,71.22735466,12.5,2.616,123,9.41,9.26,136.7621801,0.8003507324221976
2599.375,70.14521535,11.8,2.613,120,9.98,9.77,134.4684301,0.8003507324221976
2599.5,69.42984003,11.3,2.608,119,10.44,10.2,132.2726598,0.8003507324221976
2599.625,69.45548261,11.0,2.601,117,10.68,10.44,130.3114833,0.8003507324221976
2599.75,69.2870935,10.8,2.598,117,10.67,10.46,128.9135994,0.8003507324221976
2599.875,69.35420682,10.6,2.597,119,10.52,10.34,128.0163879,0.8003507324221976
2600.0,69.20744869,10.4,2.599,122,10.31,10.16,127.2730814,0.8003507324221976
2600.125,68.88490157,10.2,2.601,123,10.04,9.96,126.6127455,0.8003507324221976
2600.25,68.47378182,10.2,2.602,122,9.88,9.86,125.9593232,0.8003507324221976
2600.375,67.69925755,10.0,2.603,120,10.35,10.29,124.9617839,0.8003507324221976
2600.5,66.09462815,9.6,2.607,118,11.72,11.54,123.5234026,0.8003507324221976
2600.625,64.27648806,8.8,2.611,114,13.84,13.57,122.014264,0.8003507324221976
2600.75,62.98836982,7.9,2.615,107,16.19,15.96,120.4756319,0.8003507324221976
2600.875,62.34669114,7.3,2.618,100,18.16,18.05,119.0549561,0.8003507324221976
